Fold 538: balanced counts 0→8, 1→8
Fold 539: balanced counts 0→13, 1→13
Fold 540: balanced counts 0→12, 1→12
Fold 541: balanced counts 0→10, 1→10
Fold 542: balanced counts 0→7, 1→7
Fold 543: balanced counts 0→14, 1→14
Fold 544: balanced counts 0→12, 1→12
Fold 545: balanced counts 0→12, 1→12
Fold 546: balanced counts 0→12, 1→12
Fold 547: balanced counts 0→13, 1→13
Fold 548: balanced counts 0→14, 1→14
Fold 549: balanced counts 0→8, 1→8
Fold 550: balanced counts 0→12, 1→12
Fold 551: balanced counts 0→13, 1→13
Fold 552: balanced counts 0→14, 1→14
Fold 553: balanced counts 0→11, 1→11
Fold 554: balanced counts 0→15, 1→15
Fold 555: balanced counts 0→13, 1→13
Fold 556: balanced counts 0→12, 1→12
Fold 557: balanced counts 0→15, 1→15
Fold 558: balanced counts 0→13, 1→13
Fold 559: balanced counts 0→11, 1→11
Fold 560: balanced counts 0→11, 1→11
Fold 561: balanced counts 0→12, 1→12
Fold 562: balanced counts 0→14, 1→14
Fold 563: balanced counts 0→15, 1→15
Fold 564: balanced counts 0→13, 1→13
Fold 565: balanced counts 0→14, 1→14
Fold 566: balanced counts 0→12, 1→12
Fold 567: balanced counts 0→13, 1→13
Fold 568: balanced counts 0→14, 1→14
Fold 569: balanced counts 0→14, 1→14
Fold 570: balanced counts 0→12, 1→12
Fold 571: balanced counts 0→12, 1→12
Fold 572: balanced counts 0→15, 1→15
Fold 573: balanced counts 0→11, 1→11
Fold 574: balanced counts 0→14, 1→14
Fold 575: balanced counts 0→14, 1→14
Fold 576: balanced counts 0→15, 1→15
Fold 577: balanced counts 0→11, 1→11
Fold 578: balanced counts 0→8, 1→8
Fold 579: balanced counts 0→14, 1→14
Fold 580: balanced counts 0→14, 1→14
Fold 581: balanced counts 0→14, 1→14
Fold 582: balanced counts 0→8, 1→8
Fold 583: balanced counts 0→12, 1→12
Fold 584: balanced counts 0→14, 1→14
Fold 585: balanced counts 0→14, 1→14
Fold 586: balanced counts 0→7, 1→7
Fold 587: balanced counts 0→15, 1→15
Fold 588: balanced counts 0→13, 1→13
Fold 589: balanced counts 0→12, 1→12
Fold 590: balanced counts 0→13, 1→13
Fold 591: balanced counts 0→11, 1→11
Fold 592: balanced counts 0→11, 1→11
Fold 593: balanced counts 0→13, 1→13
Fold 594: balanced counts 0→12, 1→12
Fold 595: balanced counts 0→11, 1→11
Fold 596: balanced counts 0→14, 1→14
Fold 597: balanced counts 0→13, 1→13
Fold 598: balanced counts 0→12, 1→12
Fold 599: balanced counts 0→13, 1→13
Fold 600: balanced counts 0→14, 1→14
Fold 601: balanced counts 0→13, 1→13
Fold 602: balanced counts 0→15, 1→15
Fold 603: balanced counts 0→10, 1→10
Fold 604: balanced counts 0→13, 1→13
Fold 605: balanced counts 0→13, 1→13
Fold 606: balanced counts 0→8, 1→8
Fold 607: balanced counts 0→15, 1→15
Fold 608: balanced counts 0→15, 1→15
Fold 609: balanced counts 0→13, 1→13
Fold 610: balanced counts 0→14, 1→14
Fold 611: balanced counts 0→13, 1→13
Fold 612: balanced counts 0→12, 1→12
Fold 613: balanced counts 0→11, 1→11
Fold 614: balanced counts 0→14, 1→14
Fold 615: balanced counts 0→9, 1→9
Fold 616: balanced counts 0→10, 1→10
Fold 617: balanced counts 0→6, 1→6
Fold 618: balanced counts 0→8, 1→8
Fold 619: balanced counts 0→11, 1→11
Fold 620: balanced counts 0→12, 1→12
Fold 621: balanced counts 0→13, 1→13
Fold 622: balanced counts 0→10, 1→10
Fold 623: balanced counts 0→10, 1→10
Fold 624: balanced counts 0→10, 1→10
Fold 625: balanced counts 0→12, 1→12
Fold 626: balanced counts 0→14, 1→14
Fold 627: balanced counts 0→15, 1→15
Fold 628: balanced counts 0→15, 1→15
Fold 629: balanced counts 0→7, 1→7
Fold 630: balanced counts 0→15, 1→15
Fold 631: balanced counts 0→14, 1→14
Fold 632: balanced counts 0→8, 1→8
Fold 633: balanced counts 0→14, 1→14
Fold 634: balanced counts 0→14, 1→14
Fold 635: balanced counts 0→8, 1→8
Fold 636: balanced counts 0→12, 1→12
Fold 637: balanced counts 0→15, 1→15
Fold 638: balanced counts 0→10, 1→10
Fold 639: balanced counts 0→13, 1→13
Fold 640: balanced counts 0→9, 1→9
Fold 641: balanced counts 0→10, 1→10
Fold 642: balanced counts 0→10, 1→10
Fold 643: balanced counts 0→5, 1→5
Fold 644: balanced counts 0→11, 1→11
Fold 645: balanced counts 0→8, 1→8
Fold 646: balanced counts 0→12, 1→12
Fold 647: balanced counts 0→12, 1→12
Fold 648: balanced counts 0→11, 1→11
Fold 649: balanced counts 0→14, 1→14
Fold 650: balanced counts 0→14, 1→14
Fold 651: balanced counts 0→11, 1→11
Fold 652: balanced counts 0→14, 1→14
Fold 653: balanced counts 0→13, 1→13
Fold 654: balanced counts 0→12, 1→12
Fold 655: balanced counts 0→13, 1→13
Fold 656: balanced counts 0→14, 1→14
Fold 657: balanced counts 0→14, 1→14
Fold 658: balanced counts 0→14, 1→14
Fold 659: balanced counts 0→12, 1→12
Fold 660: balanced counts 0→14, 1→14
Fold 661: balanced counts 0→13, 1→13
Fold 662: balanced counts 0→15, 1→15
Fold 663: balanced counts 0→14, 1→14
Fold 664: balanced counts 0→11, 1→11
Fold 665: balanced counts 0→10, 1→10
